,Cnsmr,Manuf,HiTec,Hlth ,Other
198212,0.4,2.97,1.5,0.56,-1.3
198301,1.45,4.27,9.55,1.43,2.82
198302,5.14,2.1,2.43,2.8,4.64
198303,5.46,2.97,0.67,4.63,4.96
198304,8.36,7.07,6.79,5.12,8.3
198305,-0.72,1.87,1.62,-2.66,2.45
198306,6.07,2.85,4.49,6.89,1.64
198307,-3.12,-1.76,-5.32,-5.63,-3.69
198308,-2.21,3.04,-0.21,-1.08,-0.86
198309,3.67,0.27,2.18,1.28,1.63
198310,-0.61,-1.14,-6.42,-2.14,-4.01
198311,3.55,2.44,2.52,-3,4.68
198312,-1.61,-0.66,-0.14,-3.6,-0.86
198401,-3.85,1.89,-3.37,-0.61,-1.65
198402,-5.38,-2.37,-5.29,-1.99,-4.89
198403,1.12,1.47,0.04,-0.7,2.45
198404,0.63,1.34,0.3,2.34,-2.06
198405,-4.22,-4.57,-4.93,-6.45,-6.85
198406,5.5,0.74,4.78,3.85,2.23
198407,0.1,-3.07,-0.47,-3.81,-1.8
198408,9.51,11.61,11.4,10.29,11.16
198409,0.44,0.44,-1.09,-4.39,2.2
198410,0.85,-0.49,-1.63,1.6,0.73
198411,-1.74,-0.27,-2.25,-0.04,-0.3
198412,2.46,1.42,3.53,2.84,3.7
198501,9.22,6.48,9.77,8.24,9.81
198502,2.06,2.12,0.41,3.61,2.15
198503,0.04,0.53,-2.05,3,-0.16
198504,-1.67,0.92,-2.45,-1.7,1.47
198505,8.01,4.18,5.11,9.54,6.36
198506,2,1.34,1.49,2.32,2.95
198507,-1.82,0.36,1.72,-0.46,-0.14
198508,-0.62,0.29,-1.65,-0.81,-0.45
198509,-2.65,-3.55,-4.59,-3.92,-4.92
198510,4.07,4.85,3.33,3.16,6.38
198511,8.66,4.91,8.29,9.75,7.41
198512,5.53,2.48,7.68,3.5,4.49
198601,1.87,-0.09,-1.25,1.09,3.54
198602,9.72,7.01,5.61,6.13,8.33
198603,8.2,4.18,0.96,12.02,5.78
198604,-0.65,-1.75,3.52,0.7,-2.64
198605,7.81,4.88,2,7.27,4.63
198606,3.57,0.65,-1.35,5.64,1.54
198607,-7.99,-3.59,-6.75,-5.32,-6.41
198608,3.4,8.86,6.94,4.01,6.9
198609,-9.29,-6.12,-7.76,-12.54,-8.79
198610,7.72,5.11,1.86,7.94,4.26
198611,2.14,2.3,3.66,1.36,-0.62
198612,-4.06,-1.95,-3.69,-1.24,-2.53
198701,14.64,13.06,12.91,13.16,11.14
198702,6.5,1.52,6.63,11.24,4.67
198703,2.24,4.22,2.32,0.17,-0.29
198704,-1.25,-1.68,2.51,-2.45,-4.07
198705,0.53,0.48,1.09,1.24,-0.04
198706,5.57,4.94,1.86,4.78,4.62
198707,6.03,4.16,2.6,5.77,3.58
198708,4.09,2.77,6.66,2.21,4.35
198709,-4.34,-1.32,-0.88,-2.54,-1.79
198710,-24.99,-20.91,-21.44,-20.45,-23.6
198711,-8.29,-5.86,-9.49,-9.31,-6.61
198712,8.14,7.27,9.04,5.34,5.4
198801,4.22,4.52,1.89,6.36,6.39
198802,7.48,4.36,5.12,4.2,4.32
198803,-2.05,-0.79,-4.36,-2.52,-1.35
198804,1.24,1.93,1.89,-2,-0.36
198805,-0.3,0.52,-0.05,-0.25,0.95
198806,5.72,4.03,7.01,2.68,6.02
198807,0.24,-0.53,-2.96,0.49,-0.59
198808,-2.31,-2.78,-5.98,-1.04,-0.93
198809,6.63,1.86,4.85,3.86,4.13
198810,4.94,1.39,1.28,1.22,-0.01
