,SMALL LoBO,ME1 BO2,SMALL HiBO,BIG LoBO,ME2 BO2,BIG HiBO
19910718,0.26,0.43,0.39,0.32,0.29,0.45
19910719,0.62,0.63,0.71,0.42,0.53,0.23
19910722,-0.56,-0.42,-0.46,-0.68,-0.52,-0.59
19910723,-0.24,-0.16,-0.2,0.04,-0.05,-0.11
19910724,0.33,0.35,0.43,0.71,0.42,0.56
19910725,-0.4,-0.64,-0.63,-0.47,-0.45,-0.43
19910726,0.59,0.59,0.62,0.72,0.71,0.89
19910729,-0.31,-0.46,-0.32,-0.33,-0.15,-0.04
19910730,0.35,0.3,0.48,0.65,0.68,0.98
19910731,0.63,0.5,0.62,0.4,0.45,0.58
19910801,-0.18,-0.24,-0.29,-0.24,-0.31,-0.29
19910802,0.43,0.63,0.77,0.61,0.42,0.53
19910805,0.07,0.2,0.34,-0.25,-0.17,-0.31
19910806,0.14,-0.07,0.36,0.14,0.22,0.44
19910807,0.05,0.13,0.23,0.62,0.44,0.25
19910808,-0.42,-0.36,-0.3,-0.65,-0.53,-0.43
19910809,-0.39,-0.41,-0.39,-0.73,-0.82,-0.68
19910812,-0.39,-0.24,-0.09,-0.4,-0.35,-0.41
19910813,-0.15,-0.22,-0.12,-0.02,0.02,-0.01
19910814,0.2,-0.01,0.05,0.72,0.43,0.63
19910815,-0.22,0.02,-0.03,-0.49,-0.28,-0.38
19910816,-0.8,-0.77,-0.88,-1.02,-1.12,-1.17
19910819,-4.07,-4.25,-4.62,-5.32,-4.96,-4.69
19910820,0.49,0.71,0.86,1.43,1.47,1.6
19910821,2.35,2.58,3.01,3.25,3,3.34
19910822,1.57,1.56,1.54,1.4,1.5,1.26
19910823,-0.34,-0.32,-0.39,-0.88,-0.51,-0.63
19910826,-0.16,0.05,0.12,-0.6,-0.28,-0.46
19910827,-0.19,-0.06,-0.02,-0.17,-0.13,-0.11
19910828,0.24,0.37,0.29,0.23,0.25,0.49
19910829,0.16,0.16,0.17,0.48,0.28,0.55
19910830,0.29,0.34,0.31,0.67,0.39,0.47
19910902,0.21,0.32,0.32,0.49,0.6,0.48
19910903,0.06,0.3,0.37,0.1,0.01,-0.3
19910904,-0.04,0.01,-0.05,-0.27,-0.22,-0.17
19910905,0.09,0.02,0.1,0.01,0.04,-0.11
19910906,0.51,0.69,0.76,0.48,0.44,0.29
19910909,0.74,0.76,0.9,0.31,0.39,0.47
19910910,-0.57,-0.46,-0.48,-0.67,-0.65,-0.8
19910911,-0.11,-0.1,0.01,0.05,-0.02,0.04
19910912,0.52,0.41,0.56,0.76,0.55,0.71
19910913,0.27,0.19,0.17,0.88,0.2,0.16
19910916,0.15,0.28,0.18,0.19,0.39,0.39
19910917,0.33,0.32,0.36,0.45,0.41,0.34
19910918,-0.06,-0.1,-0.36,-0.35,-0.37,-0.26
19910919,0.02,-0.15,0,-0.29,-0.19,-0.2
19910920,0.21,0.11,0.24,-0.12,0.08,0.16
19910923,0.16,0.3,0.42,0.32,0.32,0.16
19910924,-0.2,-0.2,-0.14,0.31,0.34,0.23
19910925,0.05,0.03,-0.11,0.13,0.31,0.22
19910926,0.25,0.07,-0.02,0.11,0.25,0.12
19910927,0.23,0.23,0.45,-0.01,0.12,0.12
19910930,0.63,0.58,0.64,0.65,0.71,0.53
19911001,0.3,0.07,0.23,0.51,0.46,0.59
19911002,0.26,0.19,0.11,0.41,0.18,0.23
19911003,0.09,0.05,0.14,0.66,0.27,0.63
19911004,-0.2,-0.32,-0.3,-0.09,-0.33,-0.4
19911007,-0.38,-0.43,-0.33,-0.37,-0.4,-0.4
19911008,-0.6,-0.64,-0.75,-0.85,-0.76,-0.63
19911009,-0.34,-0.17,-0.13,-0.35,-0.41,-0.29
19911010,-0.13,-0.24,-0.24,-0.02,0.1,0.09
19911011,0.22,0.19,0.22,0.14,0.16,0.09
19911014,0.14,0.02,-0.05,0.06,0.21,0.28
19911015,0.08,0.05,-0.09,0.55,0.28,0.37
