,SMALL LoBO,ME1 BO2,SMALL HiBO,BIG LoBO,ME2 BO2,BIG HiBO
20160707,0.19,0.18,0.25,0.26,0,0.15
20160708,1.14,1.01,0.96,1.3,1.17,1.03
20160711,1.03,1.18,1.25,1.02,0.81,0.7
20160712,1.16,1.05,1.12,1.69,0.77,0.63
20160713,0.03,0.24,0.27,-0.04,0.28,0.05
20160714,0.33,0.41,0.33,0.99,0.57,0.5
20160715,-0.03,-0.27,-0.47,-0.15,-0.24,-0.18
20160718,0.06,0.13,0.22,0.16,0.25,0.14
20160719,-0.44,-0.2,-0.24,-0.44,-0.28,-0.19
20160720,0.31,0.39,0.55,0.38,0.62,0.47
20160721,0.34,0.34,0.13,0.01,0.01,-0.25
20160722,-0.16,-0.33,-0.25,-0.23,0.17,0.06
20160725,-0.17,0.18,0.32,-0.39,-0.06,0.06
20160726,0.43,0.33,0.14,0.18,0.1,0.09
20160727,0.75,0.72,0.54,0.52,0.16,0.29
20160728,-0.39,-0.24,-0.17,-0.51,-0.1,-0.06
20160729,1.33,1.23,1.48,1.4,0.77,0.77
20160801,-0.48,-0.45,-0.42,-0.67,-0.31,-0.02
20160802,-0.41,-0.33,-0.2,-0.76,-0.43,-0.61
20160803,-0.16,-0.57,-0.8,0.07,-0.28,-0.39
20160804,0.41,0.3,0.18,0.47,0.26,0.16
20160805,0.48,0.37,0.19,0.54,0.72,0.48
20160808,0.43,0.34,0.22,0.58,0.2,-0.07
20160809,0.54,0.56,0.56,0.68,0.53,0.49
20160810,-0.05,0.04,0.32,-0.17,-0.02,0.14
20160811,0.26,0.16,0.07,0.44,0.38,0.39
20160812,0.43,0.48,0.77,0.17,0.12,0.08
20160815,0.54,0.4,0.36,0.26,0.21,0.28
20160816,-0.16,-0.06,-0.07,-0.15,-0.33,-0.49
20160817,-0.28,-0.29,-0.32,-0.15,0.09,-0.07
20160818,0.69,0.59,0.6,0.63,0.39,0.16
20160819,-0.35,-0.16,-0.26,-0.55,-0.3,-0.31
20160822,0.13,0.22,0.2,-0.09,0,0.09
20160823,0.31,0.38,0.37,0.57,0.25,0.31
20160824,-0.6,-0.08,-0.11,-0.43,-0.28,-0.35
20160825,-0.1,-0.1,-0.4,-0.24,-0.21,-0.33
20160826,-0.41,-0.72,-0.72,-0.29,-0.5,-0.51
20160829,0.42,0.33,0.2,0.38,0.47,0.32
20160830,-0.32,-0.4,-0.34,-0.02,-0.17,-0.41
20160831,-0.13,-0.03,0.02,-0.02,-0.2,-0.19
20160901,0.45,0.44,0.43,0.28,0.17,0.28
20160902,0.43,0.33,0.2,0.88,0.6,0.62
20160905,0.36,0.43,0.49,0.25,0.19,0.16
20160906,1.28,1.06,1.24,0.53,0.6,0.59
20160907,0.41,0.36,0.42,0.17,0.04,0.05
20160908,0.08,-0.17,-0.36,0.31,-0.32,-0.58
20160909,-1.67,-1.43,-1.59,-1.43,-1.87,-2.06
20160912,0.12,-0.1,-0.18,0,0.51,0.64
20160913,-1.32,-1.05,-0.91,-1.72,-1.31,-1.04
20160914,0.04,-0.17,-0.1,-0.23,-0.09,0.16
20160915,0.54,0.49,0.57,0.65,0.7,0.82
20160916,-0.16,-0.2,-0.02,-0.85,-0.67,-0.4
20160919,0.51,0.41,0.52,0.61,0.48,0.23
20160920,-0.04,-0.08,-0.31,-0.14,0.09,0.15
20160921,1.76,1.48,1.43,1.83,1.26,1.02
20160922,0.83,0.78,0.73,0.8,0.83,0.82
20160923,-0.37,-0.24,-0.18,-0.8,-0.57,-0.4
20160926,-0.65,-0.59,-0.57,-1.12,-0.84,-0.77
20160927,0.2,0.2,0.31,0.08,0.41,0.56
20160928,0.7,0.6,0.51,0.79,0.53,0.23
20160929,-0.37,-0.25,-0.16,-0.19,-0.47,-0.58
20160930,0.13,0.06,-0.08,0.36,0.28,0.35
20161003,0.06,0.01,0.32,-0.06,-0.14,-0.09
20161004,-0.47,-0.28,-0.23,-0.09,-0.24,-0.3
20161005,0.54,0.41,0.02,0.71,0.29,0
20161006,-0.44,-0.24,-0.47,-0.25,-0.21,-0.35
20161007,-0.28,-0.39,-0.52,-0.11,-0.3,-0.52
20161010,0.42,0.04,0.01,0.31,0.4,0.27
20161011,-1.05,-0.87,-0.69,-1.26,-1.08,-0.96
20161012,-0.65,-0.4,-0.41,-0.37,-0.38,-0.16
20161013,-0.31,-0.2,-0.11,-0.52,-0.24,-0.13
20161014,-0.2,0.01,-0.02,0.22,0.19,0.11
20161017,-0.06,0.01,-0.16,-0.19,-0.25,-0.28
20161018,0.65,0.56,0.79,1.12,0.78,0.49
20161019,0.45,0.55,0.57,0.66,0.24,0.14
20161020,-0.01,-0.33,-0.25,0.13,-0.12,-0.29
20161021,-0.18,-0.23,-0.21,-0.05,-0.17,-0.18
20161024,0.1,0.26,0.23,0.24,0.36,0.28
20161025,-0.4,-0.32,-0.26,-0.23,-0.23,-0.28
20161026,-0.62,-0.27,-0.38,-0.04,-0.18,-0.28
20161027,-0.79,-0.72,-0.94,-0.16,-0.33,-0.37
20161028,0.2,0.47,0.45,0.41,0.05,-0.23
20161031,-0.29,0.07,0.06,-0.36,-0.05,-0.01
20161101,0.01,-0.14,-0.12,-0.12,-0.33,-0.46
20161102,-1.13,-0.78,-0.79,-1.14,-0.81,-0.51
20161103,-0.18,0.22,0.09,0.16,-0.27,-0.32
20161104,-0.16,-0.34,-0.42,-0.49,-0.49,-0.45
20161107,0.9,0.63,0.66,1.26,1.54,1.42
20161108,-0.01,-0.12,-0.02,0.24,0.29,0.29
20161109,0.04,-0.52,-0.93,0.67,-0.16,0.04
20161110,1.93,1.85,1.84,1.56,0.59,-0.04
20161111,0.55,0.36,-0.17,-0.4,-0.32,-0.15
20161114,0.19,0.25,-0.09,0.28,-0.33,-0.46
20161115,0.22,0.04,-0.14,0.67,0.6,0.39
20161116,0.06,0.28,0.39,-0.41,-0.17,0.11
20161117,-0.02,-0.09,-0.06,0.18,0.29,0.29
20161118,0.1,0.16,0.2,-0.43,-0.37,-0.27
20161121,0.61,0.42,0.52,0.89,0.72,0.74
20161122,0.35,0.71,0.71,0.19,0.08,0.41
20161123,-0.1,-0.33,-0.25,-0.14,-0.34,-0.11
20161124,-0.05,0.02,0.11,-0.06,0.19,0.13
20161125,0.26,0.36,0.38,0.1,0.5,0.62
20161128,-0.33,-0.11,0.02,-0.69,-0.21,-0.27
20161129,-0.29,-0.1,-0.15,-0.01,0.23,0.19
20161130,-0.24,-0.48,-0.7,0.75,-0.39,-0.87
20161201,0.1,0.4,0.35,0.53,-0.14,-0.29
20161202,0.21,-0.08,-0.25,-0.08,0.02,-0.05
20161205,0.86,0.78,0.53,0.79,0.72,0.39
20161206,0.63,0.5,0.41,0.97,0.28,0.31
20161207,0.68,0.91,1,1.29,1.19,1.2
20161208,0.68,0.69,0.61,0.5,0.28,0.14
20161209,-0.05,-0.01,-0.29,-0.02,0.43,0.45
20161212,-0.32,-0.13,0.03,-0.12,0.1,0.08
20161213,0.16,0.27,0.22,0.5,0.71,0.79
20161214,-1.36,-1.23,-1.07,-1.29,-1.01,-0.92
20161215,-0.24,-0.25,-0.21,-0.1,0.07,-0.06
20161216,0.25,0.13,0.19,0.08,0.04,0.1
20161219,-0.01,0.05,0.12,-0.36,0.1,0.17
20161220,0.29,0.33,0.25,0.32,0.23,0.34
20161221,-0.22,-0.08,0.01,-0.06,-0.09,-0.15
20161222,-0.38,-0.37,-0.42,-0.19,-0.1,-0.23
20161223,0.45,0.29,0.18,0.16,0.13,0.13
20161226,0.01,0.05,0.11,-0.02,-0.02,-0.01
20161227,0.1,0.2,0.24,0.08,0.11,0.17
20161228,-0.06,0.01,0.07,-0.46,-0.5,-0.43
20161229,0.23,0.22,0.26,-0.03,0.1,0.16
20161230,-0.02,0.02,0.07,0.01,-0.2,-0.34
20170102,-0.05,-0.1,-0.1,-0.07,-0.05,-0.06
20170103,0.45,0.21,0.34,0.87,0.51,0.41
20170104,1.6,1.45,1.38,1.35,0.87,0.83
20170105,0.58,0.35,0.65,0.56,0.45,0.53
20170106,-0.62,-0.8,-0.8,-0.25,-0.14,-0.19
20170109,-0.19,-0.11,0,-0.39,-0.06,0.06
20170110,0.48,0.4,0.29,0.2,-0.03,0.05
20170111,0.32,0.49,0.52,0.45,0.63,0.25
20170112,-0.4,-0.41,-0.35,-0.41,-0.27,-0.14
20170113,0.68,0.64,0.62,0.81,0.5,0.38
20170116,-0.4,-0.35,-0.43,-0.7,-0.29,-0.26
20170117,-0.21,0.05,0.16,-0.03,-0.06,0.22
20170118,-0.53,-0.52,-0.59,-0.37,-0.16,-0.31
20170119,-0.01,0,0.03,0,-0.15,0.07
20170120,0.43,0.39,0.26,0.22,0.4,0.36
20170123,0.18,0.35,0.33,-0.22,-0.1,0.02
20170124,0.54,0.47,0.28,0.55,0.43,0.18
20170125,1.02,1.18,0.94,1.25,1.02,0.87
20170126,-0.41,-0.42,-0.58,-0.17,-0.18,-0.21
20170127,-0.12,-0.25,-0.09,-0.31,0.03,0
20170130,-0.76,-0.43,-0.29,-0.92,-0.56,-0.4
20170131,0.6,0.5,0.27,0.17,0.09,-0.14
20170201,0.33,0.24,0.32,0.23,0.01,0.29
20170202,-0.16,-0.33,-0.24,-0.1,-0.11,-0.12
20170203,0.94,0.64,0.57,0.98,0.65,0.36
20170206,-0.2,-0.24,-0.26,-0.33,-0.28,-0.17
20170207,-0.43,-0.39,-0.49,-0.61,-0.16,0.08
20170208,0.17,0.29,0.43,0.03,0.29,0.38
20170209,0.15,0.14,0,0.42,0.18,0.28
20170210,0.82,0.9,0.76,0.49,0.55,0.48
20170213,0.38,0.25,0.33,0.54,0.47,0.33
20170214,0.22,0.05,-0.13,0.21,-0.02,0.05
20170215,0.58,0.6,0.55,0.62,0.59,0.59
20170216,0.11,0.18,0.18,-0.1,0.18,0.19
20170217,-0.25,-0.25,-0.1,-0.48,-0.01,0.12
20170220,0.09,0.04,0.2,0.06,0.01,0.06
20170221,0.12,0.15,0.12,0.17,0.32,0.4
20170222,-0.27,-0.03,-0.03,-0.23,0.13,0.1
20170223,-0.06,0.02,-0.06,-0.01,0.16,0.06
20170224,-0.48,-0.33,-0.41,-0.74,-0.28,0.05
20170227,0.1,-0.03,0.15,-0.05,-0.08,-0.05
20170228,-0.59,-0.37,-0.36,-0.13,-0.28,-0.25
20170301,0.95,0.84,0.6,1.55,1.18,0.97
20170302,-0.83,-0.49,-0.33,-0.63,-0.45,-0.27
20170303,0.25,0.07,0.18,0.52,0.19,0.14
20170306,-0.48,-0.35,-0.32,-0.57,-0.3,-0.33
20170307,-0.34,-0.22,-0.23,-0.36,-0.24,-0.22
20170308,-0.47,-0.41,-0.28,-0.37,-0.31,-0.16
20170309,-0.25,-0.19,-0.31,0.16,0.16,0.04
20170310,0.62,0.82,0.76,0.76,0.59,0.6
20170313,0.31,0.19,0.31,0.11,0.22,0.15
20170314,-0.68,-0.34,-0.27,-0.77,-0.37,-0.29
20170315,1.3,1.18,1.08,1.22,1.03,0.97
20170316,0.57,0.62,0.67,0.47,0.27,0.21
20170317,0.24,0.39,0.29,-0.24,-0.09,0.1
20170320,0.07,-0.13,-0.03,-0.24,-0.2,-0.03
20170321,-1.16,-0.61,-0.42,-0.85,-0.75,-0.67
20170322,-0.64,-0.64,-0.61,-0.46,-0.17,-0.14
20170323,0.41,0.55,0.42,0.28,0.11,0.13
20170324,0.25,0.25,0.09,0.06,0.09,0.06
20170327,0.04,-0.11,-0.17,-0.19,-0.01,0.05
20170328,0.5,0.59,0.54,0.74,0.47,0.52
20170329,0.42,0.33,0.45,0.4,0.19,0.2
20170330,-0.22,-0.22,-0.37,-0.05,-0.08,-0.11
20170331,-0.05,0.08,0.24,-0.17,-0.2,-0.07
20170403,-0.32,-0.34,-0.2,-0.31,-0.09,-0.13
20170404,-0.33,-0.26,-0.39,0.08,-0.03,0.03
20170405,-0.51,-0.18,-0.07,-0.24,-0.26,-0.14
20170406,-0.1,-0.16,-0.33,0.1,-0.03,-0.08
20170407,-0.04,-0.04,-0.04,-0.16,-0.14,-0.01
20170410,0.29,0.46,0.46,0.28,0.21,0.17
20170411,0.38,0.42,0.26,0.05,0.07,0.09
20170412,-0.41,-0.31,-0.32,-0.3,-0.06,-0.04
20170413,-0.73,-0.74,-0.49,-0.95,-0.71,-0.59
20170414,-0.07,-0.08,-0.11,0.02,0.01,-0.02
20170417,0.49,0.56,0.6,0.55,0.61,0.63
20170418,0.07,0.28,0.41,-0.36,-0.18,-0.16
20170419,-0.12,0.07,0.25,-0.15,-0.26,-0.16
20170420,0.52,0.5,0.42,0.59,0.61,0.6
20170421,0.07,0.2,0.2,-0.08,-0.03,-0.02
20170424,1.12,1.22,1.07,2.18,1.62,1.33
20170425,0.66,0.6,0.57,0.74,0.6,0.38
20170426,0.59,0.69,0.52,0.23,0.13,0.15
20170427,-0.26,0.12,0.07,-0.41,-0.04,0.08
20170428,-0.28,-0.17,-0.01,-0.12,-0.02,-0.24
20170501,0.17,0.22,0.08,0.15,0.12,0.07
20170502,0.07,0.62,0.45,0.38,0.37,0.54
20170503,-0.7,-0.74,-0.73,-0.35,-0.27,-0.4
20170504,0.05,0.25,0.34,0.44,0.48,0.46
20170505,0.35,0.17,0.12,0.68,0.43,0.47
20170508,0.18,0.28,0.2,-0.16,-0.1,0.09
20170509,-0.08,0,0.19,-0.33,-0.24,-0.01
20170510,0.35,0.36,0.2,0.3,0.18,0.05
20170511,-0.12,-0.24,-0.27,-0.2,-0.15,-0.23
20170512,0.05,-0.11,-0.12,0.05,0.09,0.32
20170515,0.4,0.4,0.21,0.63,0.52,0.32
20170516,0.53,0.65,0.5,0.42,0.32,0.37
20170517,-1.07,-0.7,-0.52,-1.39,-1.15,-1.07
20170518,-0.52,-0.75,-0.76,-0.53,-0.15,-0.06
20170519,0.83,0.96,1.08,1.27,0.84,0.85
20170522,0.49,0.65,0.62,0.23,0.48,0.58
20170523,-0.1,0.01,-0.13,0.1,0.03,-0.11
20170524,0.38,0.54,0.54,0.29,0.36,0.39
20170525,-0.18,-0.08,-0.04,-0.25,0.18,0.44
20170526,-0.14,-0.08,-0.1,-0.22,-0.07,-0.04
20170529,-0.04,-0.02,0.03,-0.02,-0.08,-0.07
20170530,-0.29,0.15,0.24,-0.31,0.08,0.16
20170531,-0.13,0.1,0.11,-0.21,0.06,0.23
20170601,0.9,0.77,0.73,0.7,0.62,0.57
20170602,1.03,1.01,0.96,0.55,0.72,0.88
20170605,-0.24,-0.33,-0.23,-0.25,-0.2,-0.21
20170606,0.01,-0.23,-0.25,0.01,-0.26,-0.39
20170607,-0.1,0,0.09,-0.04,-0.01,0.04
20170608,0.48,0.27,0.12,0.31,-0.13,-0.33
20170609,-0.04,0.06,-0.21,0.38,-0.03,-0.35
20170612,-0.2,-0.39,-0.35,-0.11,-0.26,-0.31
20170613,0.69,0.49,0.57,0.47,0.55,0.53
20170614,-0.23,0.04,0.26,-0.31,-0.04,0.1
20170615,-1.02,-1.09,-1.14,-0.81,-0.63,-0.62
20170616,0.44,0.41,0.45,0.44,0.4,0.26
20170619,0.5,0.39,0.28,0.59,0.65,0.65
20170620,-0.39,-0.35,-0.31,-0.79,-0.5,-0.56
20170621,-0.13,-0.27,-0.28,-0.23,-0.09,-0.05
20170622,0.31,0.25,0.23,-0.03,0.09,0.01
20170623,0.57,0.35,0.19,0.12,0.22,0.1
20170626,-0.06,0.15,0.18,0.07,0.05,0.1
20170627,-0.25,-0.07,-0.23,0.19,-0.39,-0.51
20170628,0.7,0.46,0.38,0.89,0.64,0.61
20170629,0.06,0.06,0.19,0.13,-0.66,-0.88
20170630,-0.05,-0.17,-0.14,-0.39,-0.14,-0.08
20170703,0.1,-0.04,-0.33,0.68,-0.07,-0.1
20170704,-0.21,-0.35,-0.35,-0.12,-0.1,-0.16
20170705,-0.01,0.09,0.09,-0.05,0.39,0.21
20170706,-0.48,-0.38,-0.29,-0.35,-0.62,-0.62
20170707,-0.01,0,-0.08,0.01,0.26,0.28
20170710,0.08,0.03,0.16,0.25,0.31,0.11
20170711,0.43,0.26,0.29,0.1,0.1,0.03
20170712,0.54,0.49,0.53,0.57,0.83,0.73
20170713,0.24,0.26,0.38,0.29,0.19,0.29
20170714,0.71,0.69,0.77,0.47,0.69,0.68
20170717,0.07,0.18,0.13,-0.03,-0.07,0.08
20170718,0.02,0.14,0.12,-0.18,0.16,-0.03
20170719,0.56,0.49,0.63,0.53,0.51,0.39
20170720,0.27,0.4,0.34,0.21,0.36,0.25
20170721,-0.1,-0.1,-0.03,-0.29,-0.27,-0.11
20170724,0.12,-0.12,0.01,0.01,-0.26,-0.27
20170725,0.16,0.28,0.09,0.78,0.04,0.09
20170726,0.31,0.27,0.37,0.43,0.29,0.56
20170727,-0.58,-0.22,-0.15,-0.09,-0.24,-0.2
20170728,0.22,0.07,-0.1,0.01,-0.03,-0.34
20170731,0.07,0.32,0.22,0.29,0.13,-0.02
20170801,-0.16,0.12,-0.09,0.32,0.33,0.33
20170802,-0.22,-0.2,-0.14,0.02,-0.07,0.14
20170803,-0.23,0.03,0.09,-0.06,0.05,0.06
20170804,0.08,-0.16,0.01,0.15,-0.04,-0.02
20170807,0.19,0.25,0.23,0.04,0.19,0.28
20170808,-0.09,-0.05,-0.17,-0.16,-0.19,-0.1
20170809,-0.68,-0.64,-0.49,-0.46,-0.38,-0.17
20170810,-0.87,-0.64,-0.49,-1.18,-0.97,-1.01
20170811,-0.11,-0.23,-0.13,-0.46,-0.05,0.15
20170814,0.24,0.15,0.06,0.46,0.68,0.65
20170815,-0.42,-0.47,-0.45,-0.18,-0.09,-0.05
20170816,0.45,0.56,0.67,0.43,0.53,0.45
20170817,-0.6,-0.51,-0.31,-1.13,-1.03,-1.07
20170818,-0.1,-0.23,-0.33,-0.14,-0.25,-0.36
20170821,0.01,0.11,0.03,-0.17,0.14,0.15
20170822,0.33,0.15,0.15,0.52,0.7,0.7
20170823,0.3,0.17,0.15,0.04,-0.06,-0.24
20170824,0.18,-0.14,-0.14,-0.09,-0.1,-0.27
20170825,0.58,0.76,0.63,0.45,0.32,0.4
20170828,0.26,0.23,0.19,-0.1,0.03,0.12
20170829,-0.21,-0.31,-0.26,-0.51,-0.26,-0.13
20170830,0.03,0.05,0.14,0.25,0.23,0.33
20170831,1.05,0.86,0.93,0.82,0.83,0.71
20170901,0.4,0.42,0.44,0.32,0.15,0.14
20170904,-0.3,-0.36,-0.49,-0.23,-0.14,-0.09
20170905,-0.23,-0.24,-0.35,-0.51,-0.4,-0.3
20170906,0.22,0.22,0.21,0.19,0.19,0.16
20170907,0.62,0.72,0.64,0.05,0.57,0.51
20170908,-0.03,0.18,0.13,0.22,0.04,-0.08
20170911,0.2,0.2,0.09,0.78,0.74,0.57
20170912,0.5,0.43,0.46,0.74,0.36,0.29
20170913,0.18,-0.04,-0.05,0.02,-0.21,-0.12
20170914,0.11,0.06,0.03,0.05,0.08,-0.06
20170915,0.15,0.33,0.23,-0.02,-0.02,0.25
20170918,0.15,0.14,-0.05,0.28,0.2,-0.04
20170919,0.35,0.49,0.59,0.45,0.35,0.4
20170920,-0.05,-0.27,-0.16,-0.1,-0.22,-0.15
20170921,-0.03,-0.02,-0.15,0.22,-0.1,-0.28
20170922,0.2,0.29,0.29,0.03,0.16,0.15
20170925,0.05,0.06,0.09,-0.26,-0.4,-0.14
20170926,-0.26,-0.1,-0.27,-0.29,-0.2,-0.1
20170927,0.54,0.57,0.28,0.58,0.18,0.12
20170928,0.66,0.73,0.74,0.38,0.39,0.22
20170929,0.27,0.25,0.25,0.31,0.42,0.26
20171002,0.47,0.37,0.28,0.07,0.32,0.15
20171003,0.22,0.21,0.16,0.27,0.31,0.29
20171004,-0.03,-0.02,0.04,-0.05,0.05,0.07
20171005,-0.06,-0.22,-0.3,0.38,0.17,0.15
20171006,0.03,0.09,0.06,0.03,0.07,-0.09
20171009,-0.17,-0.15,-0.03,-0.15,-0.1,-0.02
20171010,0.51,0.63,0.76,0.38,0.41,0.44
20171011,0.14,0.08,0.15,0.18,0.33,0.23
20171012,-0.01,0.07,0.35,-0.23,0.05,0
20171013,0.15,0.31,0.36,0.19,0.19,0.19
20171016,0.02,-0.1,-0.12,0.14,-0.01,0.07
20171017,-0.3,-0.24,-0.26,-0.23,0,0.02
20171018,-0.05,0.01,-0.04,0.06,0.18,0.19
20171019,-0.3,-0.2,-0.3,0.01,0.19,-0.14
20171020,-0.11,-0.13,-0.14,0.24,0.08,0.08
20171023,-0.32,-0.08,-0.02,-0.24,-0.2,-0.14
20171024,0.01,0.07,0.03,0.2,0.01,0.03
20171025,-0.3,-0.19,-0.06,-0.38,-0.34,-0.4
20171026,-0.36,-0.06,-0.17,-0.19,0.15,0.01
20171027,0.63,0.42,0.43,0.27,0.52,0.94
20171030,0.17,-0.01,0.3,0.14,-0.04,-0.06
20171031,0.42,0.34,0.28,0.04,0.13,0.06
20171101,-0.03,-0.02,-0.07,0.18,0.34,0.04
20171102,0.11,0.06,-0.2,0.1,0.12,0.01
20171103,0.03,-0.17,-0.15,-0.08,0.22,0.32
20171106,0.52,0.32,0.28,0.37,0.11,0.02
20171107,-0.7,-0.5,-0.56,-0.39,-0.18,0.01
20171108,-0.03,0.17,0.08,-0.14,0.2,0.28
20171109,-0.29,-0.4,-0.37,-0.13,-0.47,-0.32
20171110,-0.12,-0.13,-0.11,-0.29,-0.19,-0.08
20171113,-0.69,-0.47,-0.66,-0.42,-0.2,-0.18
20171114,-0.41,0.06,0.01,-0.24,0.1,0.05
20171115,-0.86,-1.09,-0.94,-0.49,-0.62,-0.66
20171116,0.82,0.99,1.01,0.32,0.8,1.04
20171117,0.48,0.44,0.42,0.21,-0.09,-0.12
20171120,0.13,0.28,0.21,-0.17,0.02,0.23
20171121,0.78,0.9,0.82,0.49,0.73,0.67
20171122,0.91,0.76,0.79,0.5,0.16,0.3
20171123,-0.04,0.02,0,0.08,0.08,0.05
20171124,0.27,0.17,0.3,0.32,0.28,0.27
20171127,-0.41,-0.31,-0.18,-0.55,-0.2,-0.03
20171128,0.16,0.46,0.31,0.53,0.47,0.64
20171129,0.06,0.29,0.4,0.37,-0.35,0.15
20171130,0.28,0.03,0.16,0.48,0.35,0.66
20171201,0.1,-0.17,-0.09,-0.01,-0.23,-0.23
20171204,-0.48,0.01,-0.21,0.11,-0.3,0.19
20171205,-0.57,-0.51,-0.39,-0.56,-0.3,-0.3
20171206,-1.05,-0.76,-0.81,-0.72,-0.15,-0.22
20171207,0.33,0.31,0.44,0.27,0.34,0.17
20171208,0.37,0.26,0.36,0.66,0.51,0.53
20171211,0.16,0.01,0.06,0.34,0.12,0.32
20171212,-0.03,-0.04,-0.05,0.32,0.07,0.1
20171213,0.58,0.61,0.63,0.14,0.16,0.34
20171214,-0.27,-0.31,-0.21,-0.55,-0.46,-0.47
20171215,0.19,0.19,0.01,0.06,0.33,0.27
20171218,1,1.01,1.12,1,0.91,0.82
20171219,-0.14,-0.23,-0.02,-0.18,-0.18,-0.11
20171220,0.29,0.05,0.06,0.1,-0.24,-0.11
20171221,0.7,0.48,0.44,0.74,0.24,0.14
20171222,0.06,0.02,0.1,-0.12,-0.03,-0.05
20171225,0.02,0.04,-0.01,0.01,0.05,0.04
20171226,0.06,-0.01,0.12,-0.03,-0.11,-0.05
20171227,0.56,0.44,0.56,0.19,0.24,0.16
20171228,0.5,0.42,0.35,0.28,0.2,0.17
20171229,0.03,0.06,0.11,-0.09,-0.24,-0.28
20180101,0.05,0.05,0.05,0.05,0.04,0.03
20180102,1.09,0.68,0.59,0.74,0.58,0.62
20180103,0.36,0.09,-0.01,0.41,0.54,0.28
20180104,0.82,0.77,0.73,1.19,0.88,0.76
20180105,0.2,0.32,0.35,0.28,0.75,0.73
20180108,0.08,0,0.05,0.03,0.09,-0.02
20180109,0.19,0.09,0.14,0.33,0.2,0.26
20180110,0.29,0.13,0.09,0.49,-0.17,-0.24
20180111,0.91,0.72,0.63,0.78,0.41,0.57
20180112,0.71,0.69,0.54,0.84,0.65,0.9
20180115,0.42,0.41,0.63,0.31,0.31,0.22
20180116,-0.66,-0.21,-0.28,-0.43,-0.04,-0.21
20180117,-0.09,-0.16,-0.26,0.02,0.34,0.5
20180118,-0.31,-0.25,-0.13,0.01,0,-0.01
20180119,0.62,0.86,0.82,0.36,0.47,0.5
20180122,0.55,0.26,0.49,0.89,0.55,0.61
20180123,0.65,0.57,0.66,0.46,0.45,0.35
20180124,0.3,0.26,0.48,0.38,0.1,0
20180125,-0.34,-0.4,-0.45,-0.42,-0.2,-0.27
20180126,0.63,0.56,0.83,0.63,1,1.15
20180129,-0.45,-0.45,-0.34,-0.53,-0.62,-0.6
20180130,-1.08,-0.84,-0.91,-1.07,-0.89,-0.8
20180131,-0.46,-0.49,-0.43,-0.26,-0.21,-0.06
20180201,0.63,0.81,0.68,0.74,0.3,-0.1
20180202,-1.8,-1.54,-1.44,-2.01,-1.9,-1.77
20180205,-2.49,-2.57,-2.55,-3,-3.24,-3.15
20180206,-1.65,-2.08,-2.45,-0.83,-0.24,0.37
20180207,0.45,0.49,0.63,0.14,-0.1,0.07
20180208,-1.19,-1.04,-0.61,-2.21,-2.5,-2.65
20180209,-0.77,-0.75,-0.85,-0.4,0.37,0.34
20180212,0.96,0.75,0.76,1.22,1.15,1.31
20180213,0.32,0.26,0.25,-0.03,0.12,0.35
20180214,1.23,0.93,0.9,1.61,1.48,1.23
20180215,1.11,1.09,1.24,1.05,1.21,1.33
20180216,0.29,0.38,0.68,0.1,0.18,0.26
20180219,0.4,0.5,0.71,0.12,-0.03,0
20180220,-0.54,-0.57,-0.27,-0.49,-0.48,-0.63
20180221,-0.01,0.07,0.06,-0.43,-0.33,-0.44
20180222,0.06,-0.04,0.22,0.02,0,0.17
20180223,0.81,0.5,0.63,0.88,1.08,0.93
20180226,0.52,0.42,0.55,0.86,0.92,1.03
20180227,-0.8,-0.68,-0.85,-0.7,-0.84,-1.06
20180228,-0.86,-0.77,-0.54,-1.19,-1.02,-0.97
20180301,-0.36,-0.59,-0.63,-0.75,-1.21,-1.03
20180302,0.17,-0.12,-0.24,-0.35,-0.13,-0.08
20180305,0.06,-0.19,-0.35,0.62,0.67,0.72
20180306,1.01,1.39,1.64,0.79,0.68,0.55
20180307,0.04,0.11,0.01,-0.14,0.12,-0.18
20180308,-0.02,0.05,0.13,0.19,0.45,0.48
20180309,0.65,0.75,0.64,1.03,1.15,1.12
20180312,0.72,0.79,0.71,0.52,0.33,0.18
20180313,-0.17,0,0.06,-0.54,-0.54,-0.42
20180314,-0.22,-0.16,-0.09,-0.55,-0.22,-0.48
20180315,-0.43,-0.24,-0.24,-0.13,-0.1,-0.09
20180316,0.02,0,-0.16,0.28,0.04,0.07
20180319,-0.74,-0.54,-0.68,-1.04,-1.12,-0.94
20180320,-0.27,-0.31,-0.37,0.02,-0.18,0.05
20180321,0.9,0.58,0.63,0.66,0.27,-0.11
20180322,-1.1,-1.05,-0.76,-1.92,-1.76,-1.93
20180323,-1.59,-1.56,-1.57,-1.62,-1.86,-1.55
20180326,0.74,0.71,0.58,1.29,1.51,1.86
20180327,-0.36,0.18,0.47,-0.42,-0.6,-0.71
20180328,-1.1,-0.87,-1,-0.75,-0.45,-0.38
20180329,0.68,0.73,0.6,0.92,1.18,0.98
20180330,0.25,0.31,0.36,0.12,0.14,0.11
20180402,-0.95,-0.76,-0.54,-1.19,-1.31,-1.45
20180403,-0.01,0.14,0.04,0.32,0.32,0.54
20180404,0.36,0.25,0.23,0.23,0.37,0.86
20180405,0.55,0.68,0.57,1.31,0.94,0.88
20180406,-0.52,-0.33,-0.1,-1.09,-1.16,-1.34
20180409,0.42,0.22,0.21,0.5,0.55,0.27
