,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
20160328,-0.31,0.07,-0.17,-0.21,0.03,0.1
20160329,1.81,1.69,2.45,1.08,1.39,1.38
20160330,0.48,0.38,0.26,0.29,0.36,0.2
20160331,0.08,-0.17,0.09,0.6,0.05,0.17
20160401,0.6,0.21,-0.01,0.55,0.4,0.27
20160404,0.16,-0.83,-1.17,-0.77,-0.8,-0.9
20160405,-0.76,-0.95,-0.98,-0.81,-1.17,-1
20160406,1.36,0.7,1.13,2.15,1.19,1.04
20160407,-0.77,-1.24,-1.61,-1.58,-1.4,-1.17
20160408,-0.01,0.85,0.7,0.38,0.63,0.44
20160411,-0.01,0.3,-0.07,-0.29,-0.28,-0.24
20160412,1.04,1.28,1.64,1.19,1.19,1.13
20160413,1.86,2.01,2.23,2.26,1.91,1.64
20160414,0.56,-0.18,-0.19,0.37,-0.1,-0.25
20160415,-0.07,0.1,0.25,-0.32,0.03,0.19
20160418,0.69,0.65,0.69,0.58,0.66,0.6
20160419,0.16,0.67,0.16,0.38,0.53,0.31
20160420,0.32,0.21,0.55,0.65,0.27,0.35
20160421,0.18,-0.37,-0.55,0.14,-0.63,-0.61
20160422,0.7,0.88,1.42,0.82,0.85,0.59
20160425,-0.36,-0.56,-1.01,-0.88,-0.61,-0.57
20160426,0.3,1.27,1.42,0.63,0.96,0.8
20160427,0.19,0.42,0.5,0.59,0.71,0.54
20160428,-0.56,-0.86,-1.11,-1.6,-1.28,-1.02
20160429,-0.73,-0.42,-0.5,-0.72,-0.65,-0.62
20160502,0.09,0.28,0.45,0.79,0.5,0.66
20160503,-1.36,-1.4,-1.62,-2.2,-1.46,-1.32
20160504,-1.22,-0.19,-0.44,-1.36,-0.82,-0.78
20160505,-0.52,-0.72,-0.15,-0.25,-0.1,-0.17
20160506,-0.34,0.74,0.57,0.2,0.34,0.39
20160509,0.26,-0.09,-0.24,0,-0.28,0.03
20160510,0.53,0.94,0.62,1.55,1.34,1.29
20160511,-0.67,-1.05,-1.09,-0.89,-0.88,-1.25
20160512,-1.57,-0.72,-0.96,-1,-0.31,-0.31
20160513,-0.11,-0.59,-0.84,-0.32,-0.93,-0.97
20160516,1.09,0.86,0.63,1.78,1.09,0.83
20160517,-1.23,-1.62,-1,-0.44,-0.78,-0.5
20160518,0.6,0.54,-0.5,0.85,0.11,-0.52
20160519,-0.97,-0.79,-0.77,-0.69,-0.3,-0.31
20160520,1.57,1.15,1.54,1.66,1.13,1
20160523,0.84,-0.12,-0.08,0.23,-0.17,-0.14
20160524,1.63,1.77,2.26,1.64,1.48,1.44
